Scientific Name                              ,PLANTS Floristic Area,State and Province,Category,Duration,Growth Habit,Native Status,Active Growth Period,After Harvest Regrowth Rate,Bloom Period
Antrophyum cajenense,PR,USA+(PR),Fern,Perennial,Forb/herb,PR(N),,,
Antrophyum intramarginale,PR,USA+(PR),Fern,Perennial,Forb/herb,PR(N),,,
Antrophyum lanceolatum,PR,USA+(PR),Fern,Perennial,Forb/herb,PR(N),,,
Antrophyum lineatum,PR,USA+(PR),Fern,Perennial,Forb/herb,PR(N),,,
Antrophyum plantagineum,,USA(PW),,Perennial,Forb/herb,L48(N),,,
Antrophyum urbanii,PR,USA+(PR),Fern,Perennial,Forb/herb,PR(N),,,
Anulocaulis,NA (L48),"USA(AZ, CA, NM, NV, TX)",Dicot,,,L48(N),,,
Anulocaulis annulatus,NA (L48),USA(CA),Dicot,Perennial,Forb/herb,L48(N),,,
Anulocaulis eriosolenus,NA (L48),USA(TX),Dicot,Perennial,Forb/herb,L48(N),,,
Anulocaulis leiosolenus,NA (L48),"USA(AZ, NM, NV, TX)",Dicot,Perennial,Forb/herb,L48(N),,,
Anulocaulis leiosolenus var. gypsogenus,NA (L48),"USA(NM, TX)",Dicot,Perennial,Forb/herb,L48(N),,,
Anulocaulis leiosolenus var. howardii,NA (L48),USA(NM),Dicot,Perennial,Forb/herb,L48(N),,,
Anulocaulis leiosolenus var. lasianthus,NA (L48),USA(TX),Dicot,Perennial,Forb/herb,L48(N),,,
Anulocaulis leiosolenus var. leiosolenus,NA (L48),"USA(AZ, NM, NV, TX)",Dicot,Perennial,Forb/herb,L48(N),,,
Anulocaulis reflexus,NA (L48),USA(TX),Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Anzia,NA (L48),,Lichen,,,NA(N),,,
Anzia americana,NA (L48),,Lichen,,Lichenous,NA(N),,,
Anzia colpodes,NA (L48),,Lichen,,Lichenous,NA(N),,,
Anzia ornata,NA (L48),,Lichen,,Lichenous,NA(N),,,
Anzina,NA (L48),,Lichen,,,NA(N),,,
Anzina carneonivea,NA (L48),,Lichen,,Lichenous,NA(N),,,
Aongstroemia,NA (L48),,Moss,,,NA(N),,,
Aongstroemia longipes,NA (L48),,Moss,,Nonvascular,NA(N),,,
Apacheria,NA (L48),"USA(AZ, NM)",Dicot,,,L48(N),,,
Apacheria chiricahuensis,NA (L48),"USA(AZ, NM)",Dicot,Perennial,"Subshrub, Shrub",L48(N),,,
Apera,NA (L48),"CAN(BC, ON), USA(AZ, CA, CO, CT, DC, DE, HI, ID, IL, IN, KY, MA, MD, ME, MI, MO, MT, NJ, NM, NV, NY, OH, OR, PA, TX, UT, VT, WA, WI, WY)",Monocot,,,L48(I)CAN(I),,,
Apera interrupta,"NA (L48, CAN), HI","CAN(BC, ON), USA(AZ, CA, CO, HI, ID, IL, IN, MA, ME, MI, MO, MT, NJ, NM, NV, NY, OH, OR, UT, WA, WI, WY)",Monocot,Annual,Graminoid,L48(I)HI(I)CAN(I),,,
Apera spica-venti,"NA (L48, CAN)","CAN(ON), USA(CA, CT, DC, DE, ID, KY, MA, MD, ME, MI, MO, NJ, NY, OH, OR, PA, TX, VT, WA)",Monocot,Annual,Graminoid,L48(I)CAN(I),,,
Aphanamixis,,,Dicot,,,,,,
Aphanamixis grandifolia,,,Dicot,,,,,,
Aphanes,NA (L48),"CAN(BC, NS), USA(AL, AR, CA, DC, DE, FL, GA, ID, KY, LA, MD, MO, MS, NC, NJ, NY, OK, OR, SC, TN, TX, VA, WA)",Dicot,,,L48(I)CAN(I),,,
Aphanes arvensis,"NA (L48, CAN)","CAN(BC, NS), USA(CA, DE, ID, NJ, OR, SC, TN, WA)",Dicot,Annual,Forb/herb,L48(I)CAN(I),,,
Aphanes microcarpa,"NA (L48, CAN)","CAN(BC), USA(AL, AR, DC, DE, FL, GA, KY, LA, MD, MO, MS, NC, NY, OK, SC, TN, TX, VA)",Dicot,Annual,Forb/herb,L48(I)CAN(I),,,
Aphanisma,NA (L48),USA(CA),Dicot,,,L48(N),,,
Aphanisma blitoides,NA (L48),USA(CA),Dicot,Annual,Forb/herb,L48(N),,,
Aphanolejeunea,NA (L48),,Liverwort,,,NA(N),,,
Aphanolejeunea cornutissima,NA (L48),,Liverwort,,Nonvascular,NA(N),,,
Aphanolejeunea diaphana,NA (L48),,Liverwort,,Nonvascular,NA(N),,,
Aphanolejeunea diaphana var. cristulata,NA (L48),,Liverwort,,Nonvascular,NA(N),,,
Aphanolejeunea diaphana var. diaphana,NA (L48),,Liverwort,,Nonvascular,NA(N),,,
Aphanolejeunea ephemeroides,NA (L48),,Liverwort,,Nonvascular,NA(N),,,
Aphanolejeunea minuta,NA (L48),,Liverwort,,Nonvascular,NA(N),,,
Aphanolejeunea tuberculata,NA (L48),,Liverwort,,Nonvascular,NA(N),,,
Aphanorrhegma,NA (L48),"USA(NJ, NY)",Moss,,,NA(N),,,
Aphanorrhegma serratum,NA (L48),"USA(NJ, NY)",Moss,,Nonvascular,NA(N),,,
Aphanostephus,NA (L48),"USA(AR, AZ, FL, KS, LA, NM, OK, TX)",Dicot,,,L48(N),,,
Aphanostephus pilosus,NA (L48),"USA(NM, OK, TX)",Dicot,Annual,Forb/herb,L48(N),,,
Aphanostephus ramosissimus,NA (L48),"USA(AZ, NM, OK, TX)",Dicot,Annual,Forb/herb,L48(N),,,
Aphanostephus ramosissimus var. humilis,NA (L48),"USA(AZ, NM, TX)",Dicot,Annual,Forb/herb,L48(N),,,
Aphanostephus ramosissimus var. ramosissimus,NA (L48),"USA(NM, OK, TX)",Dicot,Annual,Forb/herb,L48(N),,,
Aphanostephus riddellii,NA (L48),"USA(NM, TX)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Aphanostephus skirrhobasis,NA (L48),"USA(AR, FL, KS, LA, NM, OK, TX)",Dicot,Annual,Forb/herb,L48(N),,,
Aphanostephus skirrhobasis var. kidderi,NA (L48),USA(TX),Dicot,Annual,Forb/herb,L48(N),,,
Aphanostephus skirrhobasis var. skirrhobasis,NA (L48),"USA(AR, KS, LA, NM, OK, TX)",Dicot,Annual,Forb/herb,L48(N),,,
Aphanostephus skirrhobasis var. thalassius,NA (L48),"USA(FL, LA, TX)",Dicot,Annual,Forb/herb,L48(N),,,
Aphragmus,"NA (AK, CAN)","CAN(BC, YT), USA(AK)",Dicot,,,CAN(N)NA(N),,,
Aphragmus eschscholtzianus,"NA (AK, CAN)","CAN(BC, YT), USA(AK)",Dicot,Perennial,Forb/herb,AK(N)CAN(N)NA(N),,,
Apiastrum,NA (L48),"USA(AZ, CA)",Dicot,,,L48(N),,,
Apiastrum angustifolium,NA (L48),"USA(AZ, CA)",Dicot,Annual,Forb/herb,L48(N),,,
Apios,NA (L48),"CAN(NB, NS, ON, PE, QC), USA(AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)",Dicot,,,L48(N)CAN(N),,,
Apios americana,"NA (L48, CAN)","CAN(NB, NS, ON, PE, QC), USA(AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)",Dicot,Perennial,"Vine, Forb/herb",L48(N)CAN(N),Spring and Summer,Slow,Late Spring
Apios priceana,NA (L48),"USA(AL, IL, KY, MS, TN)",Dicot,Perennial,"Vine, Forb/herb",L48(N),,,
Apium,NA (L48),"CAN(NS), USA(AZ, CA, CT, FL, ID, IL, LA, MA, MO, MS, NC, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, WA, WV)",Dicot,,,L48(I)CAN(N),,,
Apium graveolens,"NA (L48, CAN)","CAN(NS), USA(AZ, CA, CT, FL, ID, IL, LA, MA, MO, MS, NC, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, WA, WV)",Dicot,Perennial,Forb/herb,L48(I)CAN(N),,,
Apium graveolens var. dulce,"NA (L48, CAN)","CAN(NS), USA(AZ, CA, CT, FL, ID, IL, LA, MA, MO, MS, NC, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, WA, WV)",Dicot,Perennial,Forb/herb,L48(I)CAN(N),,,
Apium graveolens var. rapaceum,,,Dicot,,,,,,
Apium nodiflorum,NA (L48),"USA(CA, NJ, PA, SC)",Dicot,Perennial,Forb/herb,L48(I),,,
Apium prostratum,NA (L48),USA(WA),Dicot,"Biennial, Perennial",Forb/herb,L48(I),,,
Apium repens,NA (L48),USA(PA),Dicot,Perennial,Forb/herb,L48(I),,,
Aplectrum,NA (L48),"CAN(ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, VA, VT, WI, WV)",Monocot,,,L48(N)CAN(N),,,
Aplectrum hyemale,"NA (L48, CAN)","CAN(ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, VA, VT, WI, WV)",Monocot,Perennial,Forb/herb,L48(N)CAN(N),,,
Aplodon,NA (L48),,Moss,,,NA(N),,,
Aplodon wormskjoldii,NA (L48),,Moss,,Nonvascular,NA(N),,,
Apluda,"NA (L48, PB)","USA(MD, PW)",Monocot,,,L48(I),,,
Apluda mutica,"NA (L48, GU, PB)","USA(MD, PW)",Monocot,Perennial,Graminoid,L48(I),,,
Apocynum,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dicot,,,L48(N)CAN(N),,,
Apocynum ×floribundum,"NA (L48, CAN)","CAN(AB, BC, MB, NB, NF, NS, ON, QC, SK), USA(AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dicot,Perennial,Forb/herb,L48(N)CAN(N),,,
Apocynum androsaemifolium,"NA (L48, AK, CAN)","CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dicot,Perennial,Forb/herb,L48(N)AK(N)CAN(N),,,
Apocynum cannabinum,"NA (L48, CAN)","CAN(AB, BC, MB, NB, NF, NS, NT, ON, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dicot,Perennial,Forb/herb,L48(N)CAN(N),Spring and Summer,Slow,Summer
Apodanthera,NA (L48),"USA(AZ, NM, TX)",Dicot,,,L48(N),,,
Apodanthera undulata,NA (L48),"USA(AZ, NM, TX)",Dicot,Perennial,"Vine, Forb/herb",L48(N),,,
Apometzgeria,NA (L48),,Liverwort,,,NA(N),,,
Apometzgeria pubescens,NA (L48),,Liverwort,,Nonvascular,NA(N),,,
Aponogeton,NA (L48),USA(CA),Monocot,,,L48(I),,,
Aponogeton distachyos,NA (L48),USA(CA),Monocot,Perennial,Forb/herb,L48(I),,,
Apotreubia,NA (L48),,Liverwort,,,NA(N),,,
Apotreubia nana,NA (L48),,Liverwort,,Nonvascular,NA(N),,,
Appendicula,,USA(PW),,,,,,,
Appendicula reflexa,,USA(PW),,Perennial,Forb/herb,L48(N),,,
Aptenia,NA (L48),"USA(CA, FL, OR)",Dicot,,,L48(I),,,
Aptenia cordifolia,NA (L48),"USA(CA, FL, OR)",Dicot,Perennial,"Forb/herb, Subshrub",L48(I),,,
Apteria,NA (L48),"USA+(PR), USA(AL, FL, GA, LA, MS, TX)",Monocot,,,L48(N),,,
Apteria aphylla,"NA (L48), PR","USA+(PR), USA(AL, FL, GA, LA, MS, TX)",Monocot,Perennial,Forb/herb,L48(N)PR(N),,,
Aquilegia,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dicot,,,"L48(I,N)",,,
Aquilegia barnebyi,NA (L48),"USA(CO, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia brevistyla,"NA (L48, AK, CAN)","CAN(AB, BC, MB, NT, NU, ON, SK, YT), USA(AK, MN, MT, SD, WY)",Dicot,Perennial,Forb/herb,L48(N)AK(N)CAN(N),,,
Aquilegia canadensis,"NA (L48, CAN)","CAN(MB, NB, ON, QC, SK), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)",Dicot,Perennial,Forb/herb,L48(N)CAN(N),,,
Aquilegia chrysantha,NA (L48),"USA(AZ, CO, NM, TX, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia chrysantha var. chaplinei,NA (L48),"USA(NM, TX)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia chrysantha var. chrysantha,NA (L48),"USA(AZ, NM, TX, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia chrysantha var. hinckleyana,NA (L48),USA(TX),Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia chrysantha var. rydbergii,NA (L48),"USA(AZ, CO, NM)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia coerulea,NA (L48),"USA(AZ, CO, ID, MT, NM, NV, SD, UT, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia coerulea var. alpina,NA (L48),"USA(UT, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia coerulea var. coerulea,NA (L48),"USA(CO, ID, MT, NM, SD, UT, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia coerulea var. daileyae,NA (L48),USA(CO),Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia coerulea var. ochroleuca,NA (L48),"USA(CO, ID, MT, NV, UT, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia coerulea var. pinetorum,NA (L48),"USA(AZ, NV, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia desertorum,NA (L48),"USA(AZ, NM, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia desolatica,NA (L48),USA(UT),Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia elegantula,NA (L48),"USA(AZ, CO, NM, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia eximia,NA (L48),USA(CA),Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia flabellata,,,Dicot,,,,,,
Aquilegia flavescens,"NA (L48, AK, CAN)","CAN(AB, BC), USA(AK, CO, ID, MT, OR, UT, WA, WY)",Dicot,Perennial,Forb/herb,L48(N)AK(N)CAN(N),,,
Aquilegia flavescens var. flavescens,"NA (L48, CAN)","CAN(AB, BC), USA(CO, ID, OR, UT, WA, WY)",Dicot,Perennial,Forb/herb,L48(N)CAN(N),,,
Aquilegia flavescens var. miniata,"NA (L48, CAN)","CAN(AB, BC), USA(ID, MT, WA, WY)",Dicot,Perennial,Forb/herb,L48(N)CAN(N),,,
Aquilegia flavescens var. rubicunda,NA (L48),USA(UT),Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia formosa,"NA (L48, AK, CAN)","CAN(AB, BC, YT), USA(AK, CA, ID, MT, NV, OR, UT, WA, WY)",Dicot,Perennial,Forb/herb,L48(N)AK(N)CAN(N),Spring and Summer,Moderate,Spring
Aquilegia grahamii,NA (L48),USA(UT),Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia jonesii,"NA (L48, CAN)","CAN(AB), USA(MT, WY)",Dicot,Perennial,Forb/herb,L48(N)CAN(N),,,
Aquilegia jonesii var. elatior,NA (L48),USA(MT),Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia jonesii var. jonesii,"NA (L48, CAN)","CAN(AB), USA(MT, WY)",Dicot,Perennial,Forb/herb,L48(N)CAN(N),,,
Aquilegia laramiensis,NA (L48),USA(WY),Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia longissima,NA (L48),"USA(AZ, TX)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia loriae,NA (L48),USA(UT),Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia micrantha,NA (L48),"USA(AZ, CO, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia micrantha var. mancosana,NA (L48),USA(CO),Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia micrantha var. micrantha,NA (L48),"USA(AZ, CO, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia pubescens,NA (L48),"USA(CA, CO)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia saximontana,NA (L48),USA(CO),Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia scopulorum,NA (L48),"USA(CO, NV, UT, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia scopulorum var. calcarea,NA (L48),"USA(CO, UT, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia scopulorum var. scopulorum,NA (L48),"USA(NV, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia triternata,NA (L48),"USA(AZ, NM)",Dicot,Perennial,Forb/herb,L48(N),,,
Aquilegia vulgaris,"NA (L48, CAN)","CAN(MB, NB, NF, NS, ON, PE, QC), USA(CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, VT, WA, WI, WV)",Dicot,Perennial,Forb/herb,L48(I)CAN(GP),,,
Arabidopsis,"GL (L48, GL)","CAN(BC, LB, MB, NF, NT, NU, ON, QC, SK), DEN(GL), FRA(SB), USA(AL, AR, CA, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV)",Dicot,,,"L48(I)CAN(I,N)GL(I,N)SPM(I)",,,
Arabidopsis arenicola,"NA (CAN, GL)","CAN(BC, LB, MB, NF, NT, NU, ON, QC, SK), DEN(GL)",Dicot,Annual,Forb/herb,CAN(N)GL(N)NA(N),,,
Arabidopsis arenosa,GL (GL),DEN(GL),Dicot,,Forb/herb,GL(I),,,
Arabidopsis arenosa ssp. arenosa,GL (GL),DEN(GL),Dicot,,Forb/herb,GL(I),,,
Arabidopsis thaliana,"NA (L48, CAN, SPM)","CAN(BC, ON, QC), FRA(SB), USA(AL, AR, CA, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV)",Dicot,Annual,Forb/herb,L48(I)CAN(I)SPM(I),,,
Arabis,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), DEN(GL), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dicot,,,"L48(I,N)GL(N)",,,
Arabis ×divaricarpa,"NA (L48, AK, CAN)","CAN(AB, BC, MB, NB, NS, NT, ON, QC, SK, YT), USA(AK, CA, CO, IA, ID, ME, MI, MN, MT, ND, NE, NH, NM, NV, NY, OH, OR, SD, UT, VT, WA, WI, WY)",Dicot,"Biennial, Perennial",Forb/herb,L48(N)AK(N)CAN(N),Spring and Summer,Slow,Late Spring
Arabis aculeolata,NA (L48),"USA(CA, OR)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis alpina,"NA (L48, CAN, GL)","CAN(LB, MB, NB, NF, NT, NU, ON, QC, YT), DEN(GL), USA(KY, ME, MI, NY, TN, VA, WI)",Dicot,Perennial,"Forb/herb, Subshrub",L48(N)CAN(N)GL(N),,,
Arabis beckwithii,NA (L48),"USA(NV, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis blepharophylla,NA (L48),USA(CA),Dicot,Perennial,Forb/herb,L48(N),,,
Arabis bodiensis,NA (L48),"USA(CA, NV)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis boivinii,"NA (L48, CAN)","CAN(QC, SK, YT), USA(MT, SD)",Dicot,"Biennial, Perennial",Forb/herb,L48(N)CAN(N),,,
Arabis breweri,NA (L48),"USA(CA, OR)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Arabis breweri var. austiniae,NA (L48),USA(CA),Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Arabis breweri var. breweri,NA (L48),"USA(CA, OR)",Dicot,Perennial,"Forb/herb, Subshrub",L48(N),,,
Arabis breweri var. pecuniaria,NA (L48),USA(CA),Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Arabis calderi,NA (AK),USA(AK),Dicot,Perennial,Forb/herb,AK(N),,,
Arabis canadensis,"NA (L48, CAN)","CAN(ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)",Dicot,Biennial,Forb/herb,L48(N)CAN(N),,,
Arabis cobrensis,NA (L48),"USA(CA, ID, NV, OR, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis codyi,"NA (AK, CAN)","CAN(BC, YT), USA(AK)",Dicot,Perennial,Forb/herb,AK(N)CAN(N)NA(N),,,
Arabis constancei,NA (L48),USA(CA),Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Arabis crandallii,NA (L48),"USA(CO, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis crucisetosa,NA (L48),"USA(ID, OR, WA)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis cusickii,NA (L48),"USA(ID, NV, OR, WA)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Arabis davidsonii,NA (L48),"USA(CA, NV, OR)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis davidsonii var. davidsonii,NA (L48),"USA(CA, NV, OR)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis davidsonii var. parva,NA (L48),USA(CA),Dicot,Perennial,Forb/herb,L48(N),,,
Arabis demissa,NA (L48),"USA(CO, MT, NV, UT, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis demissa var. demissa,NA (L48),USA(CO),Dicot,Perennial,Forb/herb,L48(N),,,
Arabis demissa var. languida,NA (L48),"USA(CO, MT, NV, UT, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis dispar,NA (L48),"USA(CA, NV)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Arabis drummondii,"NA (L48, AK, CAN)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, RI, SD, UT, VT, WA, WI, WY)",Dicot,"Biennial, Perennial",Forb/herb,L48(N)AK(N)CAN(N),Spring and Summer,,Late Spring
Arabis eschscholtziana,"NA (L48, AK)","USA(AK, ID, MT, OR, WA)",Dicot,"Annual, Biennial, Perennial",Forb/herb,L48(N)AK(N),,,
Arabis falcatoria,NA (L48),"USA(NV, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis falcifructa,NA (L48),USA(NV),Dicot,Perennial,Forb/herb,L48(N),,,
Arabis fecunda,NA (L48),USA(MT),Dicot,Perennial,Forb/herb,L48(N),,,
Arabis fendleri,NA (L48),"USA(AZ, CO, NM, NV, OK, TX, UT, WY)",Dicot,Perennial,"Forb/herb, Subshrub",L48(N),,,
Arabis fendleri var. fendleri,NA (L48),"USA(AZ, CO, NM, NV, OK, TX, UT)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Arabis fendleri var. spatifolia,NA (L48),"USA(CO, NM, UT, WY)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Arabis fernaldiana,NA (L48),"USA(CA, CO, NV, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis fernaldiana var. fernaldiana,NA (L48),"USA(CO, NV, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis fernaldiana var. stylosa,NA (L48),"USA(CA, NV)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis fructicosa,NA (L48),"USA(MT, WY)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis furcata,NA (L48),"USA(OR, WA)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis furcata var. furcata,NA (L48),"USA(OR, WA)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis furcata var. olympica,NA (L48),USA(WA),Dicot,Perennial,Forb/herb,L48(N),,,
Arabis georgiana,NA (L48),"USA(AL, GA)",Dicot,Biennial,Forb/herb,L48(N),,,
Arabis glabra,"NA (L48, AK, CAN)","CAN(AB, BC, MB, NB, NS, NT, ON, QC, SK, YT), USA(AK, AR, AZ, CA, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Dicot,"Annual, Perennial, Biennial",Forb/herb,L48(N)AK(I)CAN(N),,,
Arabis glaucovalvula,NA (L48),"USA(CA, NV)",Dicot,Perennial,"Subshrub, Forb/herb",L48(N),,,
Arabis goodrichii,NA (L48),"USA(NV, UT)",Dicot,"Biennial, Perennial",Forb/herb,L48(N),,,
Arabis gracilipes,NA (L48),"USA(AZ, NV, UT)",Dicot,Perennial,Forb/herb,L48(N),,,
Arabis gunnisoniana,NA (L48),USA(CO),Dicot,Perennial,Forb/herb,L48(N),,,
Arabis hastatula,NA (L48),USA(OR),Dicot,Perennial,Forb/herb,L48(N),,,
Arabis hirshbergiae,NA (L48),USA(CA),Dicot,Perennial,"Forb/herb, Subshrub",L48(N),,,
